Event Count,P2P Jacc,Order Management Jacc
26519,0.0000,0.8889
26549,0.0000,0.8889
26579,0.0000,0.8889
26609,0.0000,0.8889
26639,0.0000,0.8889
26669,0.0000,0.8933
26699,0.0000,0.8933
26729,0.0000,0.8933
26759,0.0000,0.8933
26789,0.0000,0.8933
26819,0.0000,0.8933
26849,0.0000,0.8933
26879,0.0000,0.8889
26909,0.0000,0.8889
26939,0.0000,0.8889
26969,0.0000,0.8889
26999,0.0000,0.8889
27029,0.0000,0.8889
27059,0.0000,0.8889
27089,0.0000,0.8889
27119,0.0000,0.8889
27149,0.0000,0.8889
27179,0.0000,0.8889
27209,0.0000,0.8889
27239,0.0000,0.8844
27269,0.0000,0.8756
27299,0.0000,0.8756
27329,0.0000,0.8756
27359,0.0000,0.8756
27389,0.0000,0.8756
27419,0.0000,0.8756
27449,0.0000,0.8800
27479,0.0000,0.8800
27509,0.0000,0.8800
27539,0.0000,0.8800
27569,0.0000,0.8800
27599,0.0000,0.8800
27629,0.0000,0.8756
27659,0.0000,0.8800
27689,0.0000,0.8844
27719,0.0000,0.8844
27749,0.0000,0.8844
27779,0.0000,0.8844
27809,0.0000,0.8844
27839,0.0000,0.8800
27869,0.0000,0.8844
27899,0.0000,0.8844
27929,0.0000,0.8844
27959,0.0000,0.8844
27989,0.0000,0.8844
28019,0.0000,0.8844
28049,0.0000,0.8844
28079,0.0000,0.8844
28109,0.0000,0.8844
28139,0.0000,0.8844
28169,0.0000,0.8844
28199,0.0000,0.8844
28229,0.0000,0.8844
28259,0.0000,0.8844
28289,0.0000,0.8844
28319,0.0000,0.8844
28349,0.0000,0.8889
28379,0.0000,0.8889
28409,0.0000,0.8889
28439,0.0000,0.8844
28469,0.0000,0.8844
28499,0.0000,0.8844
28529,0.0000,0.8844
28559,0.0000,0.8800
28589,0.0000,0.8800
28619,0.0000,0.8800
28649,0.0000,0.8800
28679,0.0000,0.8800
28709,0.0000,0.8800
28739,0.0000,0.8800
28769,0.0000,0.8800
28799,0.0000,0.8800
28829,0.0000,0.8800
28859,0.0000,0.8800
28889,0.0000,0.8756
28919,0.0000,0.8800
28949,0.0000,0.8800
28979,0.0000,0.8800
29009,0.0000,0.8800
29039,0.0000,0.8800
29069,0.0000,0.8800
29099,0.0000,0.8800
29129,0.0000,0.8800
29159,0.0000,0.8844
29189,0.0000,0.8578
29219,0.0000,0.8800
29249,0.0000,0.8800
29279,0.0000,0.8800
29309,0.0000,0.8800
29339,0.0000,0.8800
29369,0.0000,0.8800
29399,0.0000,0.8800
29429,0.0000,0.8800
29459,0.0000,0.8800
29489,0.0000,0.8800
29519,0.0000,0.8800
29549,0.0000,0.8800
29579,0.0000,0.8756
29609,0.0000,0.8756
29639,0.0000,0.8756
29669,0.0000,0.8756
29699,0.0000,0.8756
29729,0.0000,0.8756
29759,0.0000,0.8756
29789,0.0000,0.8756
29819,0.0000,0.8756
29849,0.0000,0.8756
29879,0.0000,0.8756
29909,0.0000,0.8756
29939,0.0000,0.8756
29969,0.0000,0.8711
29999,0.0000,0.8711
30029,0.0000,0.8711
30059,0.0000,0.8711
30089,0.0000,0.8711
30119,0.0000,0.8711
30149,0.0000,0.8711
30179,0.0000,0.8711
30209,0.0000,0.8711
30239,0.0000,0.8711
30269,0.0000,0.8711
30299,0.0000,0.8711
30329,0.0000,0.8711
30359,0.0000,0.8711
30389,0.0000,0.8711
30419,0.0000,0.8711
30449,0.0000,0.8711
30479,0.0000,0.8711
30509,0.0000,0.8711
30539,0.0000,0.8711
30569,0.0000,0.8711
30599,0.0000,0.8711
30629,0.0000,0.8711
30659,0.0000,0.8711
30689,0.0000,0.8711
